,Best Musical,Best Revival,Leading Actor,Leading Actress,Featured Actor,Featured Actress,Best Direction,Best Book,Best Score,Best Producer,Scenic Design,Costume Design,Lighting Design,Sound Design,Choreography,Orchestrations,Conductor,Stage Technician
2025,Maybe Happy Ending,Sunset Boulevard,Darren Criss - Maybe Happy Ending,Nicole Scherzinger - Sunset Boulevard,Jak Malone - Operation Mincemeat,Natalia Venetia Belcon - Buena Vista Social Club,Michael Arden - Maybe Happy Ending,Will Aronson & Hue Park - Maybe Happy Ending,Will Aronson & Hue Park - Maybe Happy Ending,N/A,Dane Laffrey & George Reeve - Maybe Happy Ending,Paul Tazewell - Death Becomes Her,Jack Knowles - Sunset Boulevard,Jonathan Deans - Buena Vista Social Club,Patricia Delgado & Justin Peck - Buena Vista Social Club,Marco Paguia - Buena Vista Social Club,N/A,N/A
2024,The Outsiders,Merrily We Roll Along,Jonathan Groff - Merrily We Roll Along,Maleah Joi Moon - Hell's Kitchen,Daniel Radcliffe - Merrily We Roll Along,Kecia Lewis - Hell's Kitchen,Danya Taymor - The Outsiders,Shaina Taub - Suffs,Shaina Taub - Suffs,N/A,Tom Scutt - Cabaret,Linda Cho - The Great Gatsby,Hana S Kim & Brian MacDevitt - The Outsiders,Cody Spencer - The Outsiders,Justin Peck - Illinoise,Jonathan Tunick - Merrily We Roll Along,N/A,N/A
2023,Kimberly Akimbo,Parade,J Harrison Ghee - Some Like It Hot,Victoria Clark - Kimberly Akimbo,Alex Newell - Shucked,Bonnie Milligan - Kimberly Akimbo,Michael Arden - Parade,David Lindsay-Abaire - Kimberly Akimbo,Jeanine Tesori & David Lindsay-Abaire - Kimberly Akimbo,N/A,"Beowulf Boritt - New York, New York",Gregg Barnes - Some Like it Hot,Natasha Katz - Sweeney Todd,Nevin Steinberg - Sweeney Todd,Casey Nicholaw - Some Like it Hot,Charlie Rosen & Bryan Carter - Some Like it Hot,N/A,N/A
2022,A Strange Loop,Company,Myles Frost - MJ,Joaquina Kalukango - Paradise Square,Matt Doyle - Company,Patti LuPone - Company,Marianne Elliott - Company,Michael R Jackson - A Strange Loop,Toby Marlow & Lucy Moss - Six,N/A,Bunny Christie - Company,Gabriella Slade - Six,Natasha Katz - MJ,Gareth Owen - MJ,Christopher Wheeldon - MJ,Simon Hale - Girl from the North Country,N/A,N/A
2021,Moulin Rouge!,N/A,Aaron Tveit - Moulin Rouge!,Adrienne Warren - Tina: The Tina Turner Musical,Danny Burstein - Moulin Rouge!,Lauren Patten - Jagged Little Pill,Alex Timbers - Moulin Rouge!,Diablo Cody - Jagged Little Pill,N/A,N/A,Derek McLane - Moulin Rouge!,Catherine Zuber - Moulin Rouge!,Justin Townsend - Moulin Rouge!,Peter Hylenski - Moulin Rouge!,Sonya Tayeh - Moulin Rouge!,Charlie Rosen & Matt Stine & Justin Levine & Katie Kresek - Moulin Rouge!,N/A,N/A
2019,Hadestown,Oklahoma!,Santino Fontana - Tootsie,Stephanie J Block - The Cher Show,André De Shields - Hadestown,Ali Stroker - Oklahoma!,Rachel Chavkin - Hadestown,Robert Horn - Tootsie,Anaïs Mitchell - Hadestown,N/A,Rahcel Hauck - Hadestown,Bob Mackie - The Cher Show,Bradley King - Hadestown,Nevin Steinberg & Jessica Paz - Hadestowm,Sergio Trujillo - Ain't Too Proud,Michael Chorney & Todd Sickafoose - Hadestown,N/A,N/A
2018,The Band's Visit,Once on this Island,Tony Shalhoub - The Band's Visit,Katrina Lenk - The Band's Visit,Ari'el Stachel - The Band's Visit,Lindsay Mendez - Carousel,David Cromer - The Band's Visit,Itamar Moses - The Band's Visit,David Yazbek - The Band's Visit,N/A,David Zinn - Spongebob Squarepants,Catherine Zuber - My Fair Lady,Tyler Micoleau - The Band's Visit,Kai Harada - The Band's Visit,Justin Peck - Carousel,Jamshied Sharifi - The Band's Visit,N/A,N/A
2017,Dear Evan Hansen,"Hello, Dolly!",Ben Platt - Dear Evan Hansen,"Bette Midler - Hello, Dolly!","Gavin Creel - Hello, Dolly!",Rachel Bay Jones - Dear Evan Hansen,Christopher Ashley - Come From Away,Steven Levenson - Dear Evan Hansen,Benj Pasek & Justin Paul - Dear Evan Hansen,N/A,"Mimi Lien - Natasha, Pierre, and the Great Comet of 1812","Santo Loquasto - Hello, Dolly!","Bradley King - Natasha, Pierre, and the Great Comet of 1812",N/A,Andy Blankenburg - Bandstand,Alex Lacamoire - Dear Evan Hansen,N/A,N/A
2016,Hamilton,The Color Purple,Leslie Odom Jr - Hamilton,Cynthia Erivo - The Color Purple,Daveed Diggs - Hamilton,Renée Elise Goldsberry - Hamilton,Thomas Kail - Hamilton,Lin-Mauel Miranda - Hamilton,Lin-Manuel Miranda - Hamilton,N/A,David Rockwell - She Loves Me,Paul Tazewell - Hamilton,Howell Binkley - Hamilton,N/A,Andy Blankenburg - Hamilton,Alex Lacamoire - Hamilton,N/A,N/A
2015,Fun Home,The King and I,Michael Cerveris - Fun Home,Audra McDonald - Porgy and Bess,Christian Borle - Something Rotten,Ruthie Ann Miles - The King and I,Sam Gold - Fun Home,Lisa Kron - Fun Home,Jeanine Tesori & Lisa Kron - Fun Home,N/A,Bob Crowley - An American in Paris,Catherine Zuber - The King and I,Natasha Katz - An American in Paris,N/A,Christopher Wheeldon - An American in Paris,Christopher Austin & Don Sebesky & Bill Elliot - An American in Paris,N/A,N/A
