,Best Play,Best Revival,Leading Actor,Leading Actress,Feautured Actor,Featured Actress,Best Newcomer,Best Direction,Best Score,Best Author,Best Producer,Best Scenic Design,Best Costume Design,Best Lighting Design,Best Sound Design,Best Stage Technician,Foreign Company
2025,Purpose - Branden Jacobs-Jenkins,Eureka Day,"Cole Escole - Oh, Mary!",Sarah Snook - The Picture of Dorian Gray,Francis Jue - Yellow Face,Kara Young - Purpose,N/A,"Sam Pinkleton - Oh, Mary!",N/A,N/A,N/A,Miriam Buether & 59 Productions - Stranger Things: The First Shadow,Marg Horwell - The Picture of Dorian Gray,Jon Clark - Stranger Things: The First Shadow,Paul Arditti - Stranger Things: The First Shadow,N/A,N/A
2024,Stereophonic - David Adjmi,Appropriate,Jeremy Strong - An Enemy of the People,Sarah Paulson - Appropriate,Will Brill - Stereophonic,Kara Young - Purlie Victorious: A Non-Confederate Romp Through the Cotton Patch,N/A,Daniel Aukin - Stereophonic,N/A,N/A,N/A,David Zinn - Stereophonic,Dede Ayite - Jaja's African Hair Braiding,Jane Cox - Appropriate,Ryan Rumery - Stereophonic,N/A,N/A
2023,Leopoldstadt - Tom Stoppard,Topdog/Underdog,"Sean Hayes - Good Night, Oscar",Jodie Comer - Prima Facie,Brandon Uranowitz - Leopoldstadt,Miriam Silverman - The Sign in Sidney Brustein's Window,N/A,Patrick Marber - Leopoldstadt,N/A,N/A,N/A,Tim Hatley & Andrzej Goulding - Life of Pi,Brigitte Reiffenstuel - Leopoldstadt,Tim Lutkin - Life of Pi,Carolyn Downing - Life of Pi,N/A,N/A
2022,The Lehman Trilogy - Stefano Massini & Ben Power,Take Me Out,Simon Russell Beale - The Lehman Trilogy,Deirdre O'Connell - Dana H,Jesse Tyler Ferguson - Take Me Out,Phylicia Rashad - Skeleton Crew,N/A,Sam Mendes - The Lehman Trilogy,N/A,N/A,N/A,Es Devlin - The Lehman Trilogy,Montana Levi Blanco - The Skin of Our Teeth,Jon Clark - The Lehman Trilogy,Mikhail Fiksel - Dana H,N/A,N/A
2021,The Inheritence - Matthew Lopez,A Soldier's Play,Andrew Burnap - The Inheritence,Mary-Louise Parker - The Sound Inside,David Alan Grier - A Soldier's Play,Lois Smith - The Inheritence,N/A,Stephen Daldry - The Inheritence,Christopher Nightinggale - A Christmas Carol,N/A,N/A,Rob Howell - A Christmas Carol,Rob Howell - A Christmas Carol,Hugh Vanstone - A Christmas Carol,Simon Baker - A Christmas Carol,N/A,N/A
2019,The Ferryman - Jez Butterworth,The Boys in the Band,Bryan Cranston - Network,Elaine May - The Waverly Gallery,Bertie Carvel - Ink,Celia Keenan-Bolger - To Kill a Mockingbird,N/A,Sam Mendes - The Ferryman,N/A,N/A,N/A,Rob Howell - The Ferryman,Rob Howell - The Ferryman,Neil Austin - Ink,Fitz Patton - Choir Boy,N/A,N/A
2018,Harry Potter and the Cursed Child - Jack Thorne,Angels in America,Andrew Garfield - Angels in America,Glenda Jackson - Three Tall Women,Nathan Lane - Angels in America,Laurie Metcalf - Three Tall Women,N/A,John Tiffany - Harry Potter and the Cursed Child,N/A,N/A,N/A,Christie Jones - Harry Potter and the Cursed Child - Jack Thorne,Katrina Lindsay - Harry Potter and the Cursed Child - Jack Thorne,Neil Austin - Harry Potter and the Cursed Child - Jack Thorne,Gareth Fry - Harry Potter and the Cursed Child - Jack Thorne,N/A,N/A
2017,Oslo - J T Rogers,Jitney,Kevin Kline - Present Laughter,Laurie Metcalf - A Doll's House pt 2,Michael Aronov - Oslo,Cynthia Nixon - The Little Foxes,N/A,Rebecca Taichman - Indecent,N/A,N/A,N/A,Nigel Hook - The Play that Goes Wrong,Jane Greenwood - The Little Foxes,Christopher Akerlind - Indecent,N/A,N/A,N/A
2016,The Humans - Stephen Karam,A View From the Bridge,Frank Langella - The Father,Jessica Lange - Long Day's Journey into Night,Reed Birney - The Humans,Jayne Houdyshell - The Humans,N/A,Ivo van Hove - A View from the Bridge,N/A,N/A,N/A,David Zinn - The Humans,Clint Ramos - Eclipsed,Natahsa Katz - A Long Day's Journey into Night,N/A,N/A,N/A
2015,The Curious Incident of the Dog in the Nighttime - Simon Stevens,Skylight,Alex Sharp - The Curious Incident of the Dog in the Nighttime,Helen Mirren - The Audience,Richard McCabe - The Audience,Annaleigh Ashford - You Can't Take It With You,N/A,Marianne Elliott - The Curious Incident of the Dog in the Nighttime,N/A,N/A,N/A,Bunny Christie & Finn Ross - The Curious Incident of the Dog in the Nighttime,Christopher Oram - Wolf Hall,Paule Constable - The Curious Incident of the Dog in the Nighttime,N/A,N/A,N/A
2014,All the Way - Robert Schenkkan,A Raisin in the Sun,Bryan Cranston - All the Way,Audra McDonald - Lady Day at Emerson's Bar and Grill,Mark Rylance - Twelfth Night,Sophie Okonedo - A Raisin in the Sun,N/A,Kenny Leon - A Raisin in the Sun,N/A,N/A,N/A,Beowulf Boritt - Act One,Jenny Tiramani - Twelfth Night,Natasha Katz - The Glass Menagerie,Steve Canyon Kennedy - Lady Day at Emerson's Bar and Grill,N/A,N/A
2013,Vanya and Sonia and Masha and Spike - Christopher Durang,Who's Afraid of Virginia Woolf?,Tracy Letts - Who's Afraid of Virginia Woolf?,Cicely Tyson - The Trip to Bountiful,Courney B Vance - Lucky Guy,Judith Light - The Assembled Parties,N/A,Pam MacKinnon - Who's Afraid of Virginia Woolf?,N/A,N/A,N/A,John Lee Beatty - The Nance,Ann Roth - The Nance,Jules Fisher & Peggy Eisenhauer - Lucky Guy,Leon Rothenberg - The Nance,N/A,N/A
