"year","month","day","date","count"
"2015","01","15","01/15/2015","668"
"2015","01","16","01/16/2015","310"
"2015","01","17","01/17/2015","164"
"2015","01","18","01/18/2015","49"
"2015","01","19","01/19/2015","18"
"2015","01","20","01/20/2015","10"
"2015","01","21","01/21/2015","5"
"2015","01","23","01/23/2015","5"
"2015","01","26","01/26/2015","3"
"2015","01","27","01/27/2015","3"
"2015","01","28","01/28/2015","1"
"2015","02","01","02/01/2015","1"
"2015","02","03","02/03/2015","1"
"2015","02","05","02/05/2015","1"
"2015","02","08","02/08/2015","1"
"2015","02","17","02/17/2015","1"
"2015","02","18","02/18/2015","1"
"2015","02","19","02/19/2015","5"
"2015","02","20","02/20/2015","14"
"2015","02","21","02/21/2015","110"
"2015","02","22","02/22/2015","311"
"2015","02","23","02/23/2015","148"
"2015","02","24","02/24/2015","12"
"2015","02","25","02/25/2015","2"
"2015","02","26","02/26/2015","3"
"2015","02","27","02/27/2015","5"
"2015","02","28","02/28/2015","2"
"2015","03","01","03/01/2015","7"
"2015","03","02","03/02/2015","1"
"2015","03","03","03/03/2015","2"
"2015","03","04","03/04/2015","1"
"2015","03","07","03/07/2015","2"
"2015","03","10","03/10/2015","1"
"2015","03","13","03/13/2015","1"
"2015","03","14","03/14/2015","2"
"2015","03","15","03/15/2015","1"
"2015","03","19","03/19/2015","1"
"2015","04","05","04/05/2015","1"
"2015","04","10","04/10/2015","1"
"2015","04","27","04/27/2015","1"
"2015","04","30","04/30/2015","1"
"2015","05","01","05/01/2015","1"
"2015","05","17","05/17/2015","1"
"2015","06","02","06/02/2015","1"
"2015","06","12","06/12/2015","1"
"2015","06","26","06/26/2015","1"
"2015","06","28","06/28/2015","1"
"2015","06","29","06/29/2015","1"
"2015","07","15","07/15/2015","1"
"2015","08","06","08/06/2015","1"
"2015","10","16","10/16/2015","1"
"2015","10","21","10/21/2015","1"
"2015","11","01","11/01/2015","1"
"2015","12","10","12/10/2015","1"
"2015","12","18","12/18/2015","1"
"2015","12","27","12/27/2015","1"
"2015","12","30","12/30/2015","1"
"2016","01","03","01/03/2016","5"
"2016","01","04","01/04/2016","7"
"2016","01","05","01/05/2016","2"
"2016","01","06","01/06/2016","4"
"2016","01","09","01/09/2016","1"
"2016","01","12","01/12/2016","1"
"2016","01","13","01/13/2016","2"
"2016","01","14","01/14/2016","893"
"2016","01","15","01/15/2016","422"
"2016","01","16","01/16/2016","149"
"2016","01","17","01/17/2016","127"
"2016","01","18","01/18/2016","238"
"2016","01","19","01/19/2016","336"
"2016","01","20","01/20/2016","297"
"2016","01","21","01/21/2016","287"
"2016","01","22","01/22/2016","351"
"2016","01","23","01/23/2016","182"
"2016","01","24","01/24/2016","194"
"2016","01","25","01/25/2016","144"
"2016","01","26","01/26/2016","182"
"2016","01","27","01/27/2016","113"
"2016","01","28","01/28/2016","117"
"2016","01","29","01/29/2016","47"
"2016","01","30","01/30/2016","82"
"2016","01","31","01/31/2016","76"
"2016","02","01","02/01/2016","34"
"2016","02","02","02/02/2016","16"
"2016","02","03","02/03/2016","35"
"2016","02","04","02/04/2016","45"
"2016","02","05","02/05/2016","41"
"2016","02","06","02/06/2016","26"
"2016","02","07","02/07/2016","28"
"2016","02","08","02/08/2016","55"
"2016","02","09","02/09/2016","39"
"2016","02","10","02/10/2016","17"
"2016","02","11","02/11/2016","26"
"2016","02","12","02/12/2016","15"
"2016","02","13","02/13/2016","14"
"2016","02","14","02/14/2016","9"
"2016","02","15","02/15/2016","22"
"2016","02","16","02/16/2016","7"
"2016","02","17","02/17/2016","47"
"2016","02","18","02/18/2016","13"
"2016","02","19","02/19/2016","18"
"2016","02","20","02/20/2016","6"
"2016","02","21","02/21/2016","28"
"2016","02","22","02/22/2016","36"
"2016","02","23","02/23/2016","47"
"2016","02","24","02/24/2016","51"
"2016","02","25","02/25/2016","92"
"2016","02","26","02/26/2016","96"
"2016","02","27","02/27/2016","128"
"2016","02","28","02/28/2016","1691"
"2016","02","29","02/29/2016","505"
"2016","03","01","03/01/2016","74"
"2016","03","02","03/02/2016","43"
"2016","03","03","03/03/2016","29"
"2016","03","04","03/04/2016","14"
"2016","03","05","03/05/2016","8"
"2016","03","06","03/06/2016","12"
"2016","03","07","03/07/2016","3"
"2016","03","08","03/08/2016","12"
"2016","03","09","03/09/2016","6"
"2016","03","10","03/10/2016","1"
"2016","03","11","03/11/2016","6"
"2016","03","12","03/12/2016","1"
"2016","03","13","03/13/2016","2"
"2016","03","14","03/14/2016","5"
"2016","03","15","03/15/2016","2"
"2016","03","16","03/16/2016","2"
"2016","03","17","03/17/2016","3"
"2016","03","18","03/18/2016","4"
"2016","03","19","03/19/2016","3"
"2016","03","20","03/20/2016","2"
"2016","03","22","03/22/2016","4"
"2016","03","23","03/23/2016","3"
"2016","03","24","03/24/2016","1"
"2016","03","25","03/25/2016","1"
"2016","03","27","03/27/2016","2"
"2016","03","28","03/28/2016","1"
"2016","03","29","03/29/2016","1"
"2016","03","31","03/31/2016","5"
"2016","04","02","04/02/2016","1"
"2016","04","03","04/03/2016","1"
"2016","04","06","04/06/2016","1"
"2016","04","07","04/07/2016","2"
"2016","04","08","04/08/2016","1"
"2016","04","09","04/09/2016","2"
"2016","04","12","04/12/2016","2"
"2016","04","14","04/14/2016","2"
"2016","04","15","04/15/2016","4"
