created_at,timestamp_ms,id,extended_full_text,user_id,user_screen_name,user_name,user_followers_count,user_location,user_created_at,user_friends_count,user_statuses_count,user_verified,id_str,source,truncated,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id_str,in_reply_to_screen_name,contributors,is_quote_status,quote_count,reply_count,retweet_count,favorite_count,favorited,retweeted,filter_level,lang,possibly_sensitive,withheld_copyright,place_name,text,long,lat,quoted_status_id_str,place_country_code,rt_id,rt_user_name,rt_extended_full_text,rt_text,rt_favorite_count,rt_friends_count,rt_followers_count,rt_statuses_count,rt_user_id,rt_retweet_count,rt_reply_count,rt_quote_count,rt_user_verified,rt_user_location,rt_truncated,rt_source,rt_created_at,rt_user_screen_name,lat_float,long_float,hour,year,month,day,date,coder1_concept1,coder1_concept2,coder2_concept1,coder2_concept2
Thu Jan 15 14:25:36 +0000 2015,1421331936000,555808035210547200,"RT @Awkward_Duck: #OscarsSoWhite they don't see race. Or movies with black folks in it, apparently.",,osakadaioh1,Osaka Daioh,10,,Thu Jul 18 22:52:26 +0000 2013,41.0,1335.0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,,,,,0.0,,,,pt,,,,"RT @Awkward_Duck: #OscarsSoWhite they don't see race. Or movies with black folks in it, apparently.",0.0,0.0,,,5.557421656627282e+17,Fed Up Nephew,"#OscarsSoWhite they don't see race. Or movies with black folks in it, apparently.","#OscarsSoWhite they don't see race. Or movies with black folks in it, apparently.",,1348.0,36455.0,105041.0,,0.0,,,,,,,Thu Jan 15 10:03:52 +0000 2015,Awkward_Duck,,,14,2015,1,15,01/15/2015,,,,
Mon Feb 29 11:35:13 +0000 2016,1456745713000,704344181737705473,"@and1grad The ""Asian kids are smart"" is NOT a benign stereotype. AsianAm youth have high suicide rates because of it. #OscarsSoWhite #Oscars",,drgoddess,Dr. Goddess,21438,"Pittsburgh, PA",Sat Jan 24 18:05:24 +0000 2009,6699.0,273715.0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,,7.043403526651249e+17,,and1grad,,,,,,0.0,,,,en,,,,"@and1grad The ""Asian kids are smart"" is NOT a benign stereotype. AsianAm youth have high suicide rates because of it. #OscarsSoWhite #Oscars",0.0,0.0,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,,11,2016,2,29,02/29/2016,,,,
Sun Feb 28 01:30:24 +0000 2016,1456623024000,703829586748936193,RT @MatthewACherry: Nothing more poetic than #GodsOfEgypt bombing at the box office same weekend as @TheAcademy Awards &amp; #OscarsSoWhite httâ€¦,,ramcesluna,Ramces Luna,638,HTX - SMTX - Anahuac/Rodriguez,Mon Dec 13 18:33:42 +0000 2010,527.0,3810.0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,,,,,0.0,,,,en,,,,RT @MatthewACherry: Nothing more poetic than #GodsOfEgypt bombing at the box office same weekend as @TheAcademy Awards &amp; #OscarsSoWhite httâ€¦,0.0,0.0,,,7.033646877783204e+17,Matthew A. Cherry,Nothing more poetic than #GodsOfEgypt bombing at the box office same weekend as @TheAcademy Awards &amp; #OscarsSoWhite https://t.co/t72HUvsdcm,Nothing more poetic than #GodsOfEgypt bombing at the box office same weekend as @TheAcademy Awards &amp; #OscarsSoWhite https://t.co/t72HUvsdcm,,4137.0,22751.0,86553.0,,0.0,,,,,,,Fri Feb 26 18:43:04 +0000 2016,MatthewACherry,,,1,2016,2,28,02/28/2016,,,,
Mon Feb 29 00:45:01 +0000 2016,1456706701000,704180553520705536,"RT @arden_cho: Congrats Leo, well deserved. Hope one day we got someone representing us taking home an Oscar. #OscarsSoWhite",,_Katherine_xxx,Katherine â˜†,1184,Wonderland ,Fri Apr 05 08:46:18 +0000 2013,1203.0,47107.0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,,,,,,,,,,0.0,,,,en-gb,,,,"RT @arden_cho: Congrats Leo, well deserved. Hope one day we got someone representing us taking home an Oscar. #OscarsSoWhite",0.0,0.0,,,7.041802965313413e+17,Arden Cho,"Congrats Leo, well deserved. Hope one day we got someone representing us taking home an Oscar. #OscarsSoWhite","Congrats Leo, well deserved. Hope one day we got someone representing us taking home an Oscar. #OscarsSoWhite",,359.0,636627.0,6653.0,,0.0,,,,,,,Mon Feb 29 00:44:00 +0000 2016,arden_cho,,,0,2016,2,29,02/29/2016,,,,
Thu Feb 26 04:56:39 +0000 2015,1424926599000,570885144598327296,RT @IndyMusic: Pharrell Williams only non-white winner as #BRITAwards follow #OscarsSoWhite http://t.co/jWXkWKWMc0 http://t.co/oguTX3bg3A,,Barbano54A,a poletti,257,norwich connecticut,Sat Jul 23 15:50:34 +0000 2011,1849.0,7414.0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",False,,,,,,,,,,0.0,,,,en,,,,RT @IndyMusic: Pharrell Williams only non-white winner as #BRITAwards follow #OscarsSoWhite http://t.co/jWXkWKWMc0 http://t.co/oguTX3bg3A,0.0,0.0,,,5.708704019386655e+17,IndyMusic,Pharrell Williams only non-white winner as #BRITAwards follow #OscarsSoWhite http://t.co/jWXkWKWMc0 http://t.co/oguTX3bg3A,Pharrell Williams only non-white winner as #BRITAwards follow #OscarsSoWhite http://t.co/jWXkWKWMc0 http://t.co/oguTX3bg3A,,378.0,13504.0,6102.0,,0.0,,,,,,,Thu Feb 26 03:58:04 +0000 2015,IndyMusic,,,4,2015,2,26,02/26/2015,,,,
Sun Feb 28 21:20:12 +0000 2016,1456694412000,704129009731268608,Yeah...this needs to be fixed. #OscarsSoWhite  https://t.co/A5JYD26wg1,,megstoll,Megan,86,"Calgary, Alberta",Sat Jan 29 12:19:47 +0000 2011,588.0,3253.0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,,,,,,,,,,0.0,,,,en,,,"Calgary, Alberta",Yeah...this needs to be fixed. #OscarsSoWhite  https://t.co/A5JYD26wg1,0.0,0.0,,CA,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,,21,2016,2,28,02/28/2016,,,,
Mon Feb 27 01:52:16 +0000 2017,1488160336000,836106660624142336,RT @kierobar: #Oscars #OscarsSoWhite #Oscars2017 #OscarSunday #ABC #WAR #MilitaryIndustrialComplex #Crime #USAIsNotADemocracy https://t.co/â€¦,,BirdingTrip,Not_a_Soros_Puppet,427,United States,Mon Mar 02 18:17:25 +0000 2009,516.0,7157.0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",False,,,,,,,,,,0.0,,,,en,,,,RT @kierobar: #Oscars #OscarsSoWhite #Oscars2017 #OscarSunday #ABC #WAR #MilitaryIndustrialComplex #Crime #USAIsNotADemocracy https://t.co/â€¦,0.0,0.0,,,8.36068123803435e+17,Glyphosate=CancerðŸ’€,#Oscars #OscarsSoWhite #Oscars2017 #OscarSunday #ABC #WAR #MilitaryIndustrialComplex #Crime #USAIsNotADemocracy https://t.co/61oq4jDFVm,#Oscars #OscarsSoWhite #Oscars2017 #OscarSunday #ABC #WAR #MilitaryIndustrialComplex #Crime #USAIsNotADemocracy https://t.co/61oq4jDFVm,,5816.0,5731.0,79916.0,,0.0,,,,,,,Sun Feb 26 23:19:08 +0000 2017,kierobar,,,1,2017,2,27,02/27/2017,,,,
Sun Feb 21 17:14:06 +0000 2016,1456074846000,701530361595981825,"RT @ReignOfApril: I'd like to live tweet The Wood as a family, as we do so many things, and have everyone use the #OscarsSoWhite hashtag. Tâ€¦",,Hermit_Hwarang,Ornamental Oriental,2403,In my head ~ Ohlone land,Mon May 27 03:44:42 +0000 2013,818.0,25279.0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",False,,,,,,,,,,0.0,,,,en,,,,"RT @ReignOfApril: I'd like to live tweet The Wood as a family, as we do so many things, and have everyone use the #OscarsSoWhite hashtag. Tâ€¦",0.0,0.0,,,7.015291142856458e+17,April,"I'd like to live tweet The Wood as a family, as we do so many things, and have everyone use the #OscarsSoWhite hashtag. That's important.","I'd like to live tweet The Wood as a family, as we do so many things, and have everyone use the #OscarsSoWhite hashtag. That's important.",,2352.0,21376.0,324786.0,,0.0,,,,,,,Sun Feb 21 17:09:09 +0000 2016,ReignOfApril,,,17,2016,2,21,02/21/2016,,,,
Tue Jan 26 13:37:09 +0000 2016,1453815429000,692053679826956289,RT @ReignOfApril: Marlon Brando discussing why he refused the Best Actor Oscar for Vito Corleone in The Godfather. #OscarsSoWhite https://tâ€¦,,KissMyMahogany,JC Henny,736,Backstage,Fri Apr 10 22:45:09 +0000 2009,607.0,46263.0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,,,,,,,,,,0.0,,,,en,,,,RT @ReignOfApril: Marlon Brando discussing why he refused the Best Actor Oscar for Vito Corleone in The Godfather. #OscarsSoWhite https://tâ€¦,0.0,0.0,,,6.918483011598049e+17,April,Marlon Brando discussing why he refused the Best Actor Oscar for Vito Corleone in The Godfather. #OscarsSoWhite https://t.co/i2MYUgCMm6,Marlon Brando discussing why he refused the Best Actor Oscar for Vito Corleone in The Godfather. #OscarsSoWhite https://t.co/i2MYUgCMm6,,2313.0,20038.0,320543.0,,0.0,,,,,,,Tue Jan 26 00:01:03 +0000 2016,ReignOfApril,,,13,2016,1,26,01/26/2016,,,,
Fri Jan 15 11:20:00 +0000 2016,1452856800000,688032898381910016,#OscarsSoWhite that @RayBan is the official sponsor due to the glare. #oscar,,pinupkenya,Kenya,36,"Some beach, Somewhere USA",Wed Mar 27 20:46:24 +0000 2013,173.0,757.0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,,,,,,,,,,0.0,,,,en,,,,#OscarsSoWhite that @RayBan is the official sponsor due to the glare. #oscar,0.0,0.0,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,,11,2016,1,15,01/15/2016,,,,
